ScheduleYearName,EndMonth,EndDay,ScheduleWk,ScheduleWeekName,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Hol,HtgDD,ClgDD
HealthReceptacle,12,31,HealthReceptacleWk,HealthReceptacleWk,HealthReceptacleWD,HealthReceptacleWD,HealthReceptacleWD,HealthReceptacleWD,HealthReceptacleWD,HealthReceptacleSat,HealthReceptacleSun,HealthReceptacleSun,OffDay,OnDay
HealthHVACAvail,12,31,HealthHVACAvailWk,HealthHVACAvailWk,HealthHVACAvailWD,HealthHVACAvailWD,HealthHVACAvailWD,HealthHVACAvailWD,HealthHVACAvailWD,HealthHVACAvailSat,HealthHVACAvailSun,HealthHVACAvailSun,OnDay,OnDay
HealthServiceHotWater,12,31,HealthServiceHotWaterWk,HealthServiceHotWaterWk,HealthServiceHotWaterWD,HealthServiceHotWaterWD,HealthServiceHotWaterWD,HealthServiceHotWaterWD,HealthServiceHotWaterWD,HealthServiceHotWaterSat,HealthServiceHotWaterSun,HealthServiceHotWaterSun,OffDay,OnDay
HealthElevator,12,31,HealthElevatorWk,HealthElevatorWk,HealthElevatorWD,HealthElevatorWD,HealthElevatorWD,HealthElevatorWD,HealthElevatorWD,HealthElevatorSat,HealthElevatorSun,HealthElevatorSun,OffDay,OnDay
HealthRefrigeration,12,31,HealthRefrigerationWk,HealthRefrigerationWk,HealthRefrigerationWD,HealthRefrigerationWD,HealthRefrigerationWD,HealthRefrigerationWD,HealthRefrigerationWD,HealthRefrigerationSat,HealthRefrigerationSun,HealthRefrigerationSun,HealthRefrigerationSun,HealthRefrigerationWD
HealthGasEquip,12,31,HealthGasEquipWk,HealthGasEquipWk,HealthGasEquipWD,HealthGasEquipWD,HealthGasEquipWD,HealthGasEquipWD,HealthGasEquipWD,HealthGasEquipSat,HealthGasEquipSun,HealthGasEquipSun,OffDay,OnDay
HealthHtgSetpt,12,31,HealthHtgSetptWk,HealthHtgSetptWk,HealthHtgSetptWD,HealthHtgSetptWD,HealthHtgSetptWD,HealthHtgSetptWD,HealthHtgSetptWD,HealthHtgSetptSat,HealthHtgSetptSun,HealthHtgSetptSun,HealthHtgSetptWD,HealthHtgSetptWD
HealthClgSetpt,12,31,HealthClgSetptWk,HealthClgSetptWk,HealthClgSetptWD,HealthClgSetptWD,HealthClgSetptWD,HealthClgSetptWD,HealthClgSetptWD,HealthClgSetptSat,HealthClgSetptSun,HealthClgSetptSun,HealthClgSetptWD,HealthClgSetptWD
HealthInfiltration,12,31,HealthInfiltrationWk,HealthInfiltrationWk,HealthInfiltrationWD,HealthInfiltrationWD,HealthInfiltrationWD,HealthInfiltrationWD,HealthInfiltrationWD,HealthInfiltrationSat,HealthInfiltrationSun,HealthInfiltrationSun,HealthInfiltrationWD,HealthInfiltrationWD
HealthWtrHtrSetpt,12,31,HealthWtrHtrSetptWk,HealthWtrHtrSetptWk,HealthWtrHtrSetptWD,HealthWtrHtrSetptWD,HealthWtrHtrSetptWD,HealthWtrHtrSetptWD,HealthWtrHtrSetptWD,HealthWtrHtrSetptSat,HealthWtrHtrSetptSun,HealthWtrHtrSetptSun,HealthWtrHtrSetptWD,HealthWtrHtrSetptWD
HealthEscalator,12,31,HealthEscalatorWk,HealthEscalatorWk,HealthEscalatorWD,HealthEscalatorWD,HealthEscalatorWD,HealthEscalatorWD,HealthEscalatorWD,HealthEscalatorSat,HealthEscalatorSun,HealthEscalatorSun,OffDay,OnDay
