ScheduleYearName,EndMonth,EndDay,ScheduleWk,ScheduleWeekName,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Hol,HtgDD,ClgDD
WarehouseReceptacle,12,31,WarehouseReceptacleWk,WarehouseReceptacleWk,WarehouseReceptacleWD,WarehouseReceptacleWD,WarehouseReceptacleWD,WarehouseReceptacleWD,WarehouseReceptacleWD,WarehouseReceptacleSat,WarehouseReceptacleSun,WarehouseReceptacleSun,OffDay,OnDay
WarehouseHVACAvail,12,31,WarehouseHVACAvailWk,WarehouseHVACAvailWk,WarehouseHVACAvailWD,WarehouseHVACAvailWD,WarehouseHVACAvailWD,WarehouseHVACAvailWD,WarehouseHVACAvailWD,WarehouseHVACAvailSat,WarehouseHVACAvailSun,WarehouseHVACAvailSun,OnDay,OnDay
WarehouseServiceHotWater,12,31,WarehouseServiceHotWaterWk,WarehouseServiceHotWaterWk,WarehouseServiceHotWaterWD,WarehouseServiceHotWaterWD,WarehouseServiceHotWaterWD,WarehouseServiceHotWaterWD,WarehouseServiceHotWaterWD,WarehouseServiceHotWaterSat,WarehouseServiceHotWaterSun,WarehouseServiceHotWaterSun,OffDay,OnDay
WarehouseElevator,12,31,WarehouseElevatorWk,WarehouseElevatorWk,WarehouseElevatorWD,WarehouseElevatorWD,WarehouseElevatorWD,WarehouseElevatorWD,WarehouseElevatorWD,WarehouseElevatorSat,WarehouseElevatorSun,WarehouseElevatorSun,OffDay,OnDay
WarehouseRefrigeration,12,31,WarehouseRefrigerationWk,WarehouseRefrigerationWk,WarehouseRefrigerationWD,WarehouseRefrigerationWD,WarehouseRefrigerationWD,WarehouseRefrigerationWD,WarehouseRefrigerationWD,WarehouseRefrigerationSat,WarehouseRefrigerationSun,WarehouseRefrigerationSun,WarehouseRefrigerationSun,WarehouseRefrigerationWD
WarehouseHtgSetpt,12,31,WarehouseHtgSetptWk,WarehouseHtgSetptWk,WarehouseHtgSetptWD,WarehouseHtgSetptWD,WarehouseHtgSetptWD,WarehouseHtgSetptWD,WarehouseHtgSetptWD,WarehouseHtgSetptSat,WarehouseHtgSetptSun,WarehouseHtgSetptSun,WarehouseHtgSetptWD,WarehouseHtgSetptWD
WarehouseClgSetpt,12,31,WarehouseClgSetptWk,WarehouseClgSetptWk,WarehouseClgSetptWD,WarehouseClgSetptWD,WarehouseClgSetptWD,WarehouseClgSetptWD,WarehouseClgSetptWD,WarehouseClgSetptSat,WarehouseClgSetptSun,WarehouseClgSetptSun,WarehouseClgSetptWD,WarehouseClgSetptWD
WarehouseInfiltration,12,31,WarehouseInfiltrationWk,WarehouseInfiltrationWk,WarehouseInfiltrationWD,WarehouseInfiltrationWD,WarehouseInfiltrationWD,WarehouseInfiltrationWD,WarehouseInfiltrationWD,WarehouseInfiltrationSat,WarehouseInfiltrationSun,WarehouseInfiltrationSun,WarehouseInfiltrationWD,WarehouseInfiltrationWD
WarehouseEscalator,12,31,WarehouseEscalatorWk,WarehouseEscalatorWk,WarehouseEscalatorWD,WarehouseEscalatorWD,WarehouseEscalatorWD,WarehouseEscalatorWD,WarehouseEscalatorWD,WarehouseEscalatorSat,WarehouseEscalatorSun,WarehouseEscalatorSun,OffDay,OnDay
WarehouseWtrHtrSetpt,12,31,WarehouseWtrHtrSetptWk,WarehouseWtrHtrSetptWk,WarehouseWtrHtrSetptWD,WarehouseWtrHtrSetptWD,WarehouseWtrHtrSetptWD,WarehouseWtrHtrSetptWD,WarehouseWtrHtrSetptWD,WarehouseWtrHtrSetptSat,WarehouseWtrHtrSetptSun,WarehouseWtrHtrSetptSun,WarehouseWtrHtrSetptWD,WarehouseWtrHtrSetptWD
WarehouseGasEquip,12,31,WarehouseGasEquipWk,WarehouseGasEquipWk,WarehouseGasEquipWD,WarehouseGasEquipWD,WarehouseGasEquipWD,WarehouseGasEquipWD,WarehouseGasEquipWD,WarehouseGasEquipSat,WarehouseGasEquipSun,WarehouseGasEquipSun,OffDay,OnDay
