ScheduleWeekName,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Hol,HtgDD,ClgDD
ResidentialLivingWtrHtrSetptWk,ResidentialLivingWtrHtrSetptWD,ResidentialLivingWtrHtrSetptWD,ResidentialLivingWtrHtrSetptWD,ResidentialLivingWtrHtrSetptWD,ResidentialLivingWtrHtrSetptWD,ResidentialLivingWtrHtrSetptSat,ResidentialLivingWtrHtrSetptSun,ResidentialLivingWtrHtrSetptSun,ResidentialLivingWtrHtrSetptWD,ResidentialLivingWtrHtrSetptWD
ResidentialLivingElevatorWk,ResidentialLivingElevatorWD,ResidentialLivingElevatorWD,ResidentialLivingElevatorWD,ResidentialLivingElevatorWD,ResidentialLivingElevatorWD,ResidentialLivingElevatorSat,ResidentialLivingElevatorSun,ResidentialLivingElevatorSun,OffDay,OnDay
ResidentialLivingEscalatorWk,ResidentialLivingEscalatorWD,ResidentialLivingEscalatorWD,ResidentialLivingEscalatorWD,ResidentialLivingEscalatorWD,ResidentialLivingEscalatorWD,ResidentialLivingEscalatorSat,ResidentialLivingEscalatorSun,ResidentialLivingEscalatorSun,OffDay,OnDay
ResidentialLivingRefrigerationWk,ResidentialLivingRefrigerationWD,ResidentialLivingRefrigerationWD,ResidentialLivingRefrigerationWD,ResidentialLivingRefrigerationWD,ResidentialLivingRefrigerationWD,ResidentialLivingRefrigerationSat,ResidentialLivingRefrigerationSun,ResidentialLivingRefrigerationSun,ResidentialLivingRefrigerationSun,ResidentialLivingRefrigerationWD
RestaurantOccupancyWk,RestaurantOccupancyWD,RestaurantOccupancyWD,RestaurantOccupancyWD,RestaurantOccupancyWD,RestaurantOccupancyWD,RestaurantOccupancySat,RestaurantOccupancySun,RestaurantOccupancySun,OffDay,OnDay
RestaurantLightsWk,RestaurantLightsWD,RestaurantLightsWD,RestaurantLightsWD,RestaurantLightsWD,RestaurantLightsWD,RestaurantLightsSat,RestaurantLightsSun,RestaurantLightsSun,OffDay,OnDay
RestaurantReceptacleWk,RestaurantReceptacleWD,RestaurantReceptacleWD,RestaurantReceptacleWD,RestaurantReceptacleWD,RestaurantReceptacleWD,RestaurantReceptacleSat,RestaurantReceptacleSun,RestaurantReceptacleSun,OffDay,OnDay
RestaurantHVACAvailWk,RestaurantHVACAvailWD,RestaurantHVACAvailWD,RestaurantHVACAvailWD,RestaurantHVACAvailWD,RestaurantHVACAvailWD,RestaurantHVACAvailSat,RestaurantHVACAvailSun,RestaurantHVACAvailSun,OnDay,OnDay
RestaurantServiceHotWaterWk,RestaurantServiceHotWaterWD,RestaurantServiceHotWaterWD,RestaurantServiceHotWaterWD,RestaurantServiceHotWaterWD,RestaurantServiceHotWaterWD,RestaurantServiceHotWaterSat,RestaurantServiceHotWaterSun,RestaurantServiceHotWaterSun,OffDay,OnDay
RestaurantElevatorWk,RestaurantElevatorWD,RestaurantElevatorWD,RestaurantElevatorWD,RestaurantElevatorWD,RestaurantElevatorWD,RestaurantElevatorSat,RestaurantElevatorSun,RestaurantElevatorSun,OffDay,OnDay
