ScheduleYearName,EndMonth,EndDay,ScheduleWk,EndMonth,EndDay,ScheduleWk,EndMonth,EndDay,ScheduleWk,EndMonth,EndDay,ScheduleWk,EndMonth,EndDay,ScheduleWk,EndMonth,EndDay,ScheduleWk,EndMonth,EndDay,ScheduleWk,EndMonth,EndDay,ScheduleWk,EndMonth,EndDay,ScheduleWk,EndMonth,EndDay,ScheduleWk,EndMonth,EndDay,ScheduleWk,EndMonth,EndDay,ScheduleWk
WarehouseRefrigeration,12,31,WarehouseRefrigerationWk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WarehouseHtgSetpt,12,31,WarehouseHtgSetptWk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WarehouseClgSetpt,12,31,WarehouseClgSetptWk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WarehouseInfiltration,12,31,WarehouseInfiltrationWk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WarehouseEscalator,12,31,WarehouseEscalatorWk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WarehouseWtrHtrSetpt,12,31,WarehouseWtrHtrSetptWk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WarehouseGasEquip,12,31,WarehouseGasEquipWk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WaterMainCZ01,1,31,WaterMainCZ01JanWk,2,28,WaterMainCZ01FebWk,3,31,WaterMainCZ01MarWk,4,30,WaterMainCZ01AprWk,5,31,WaterMainCZ01MayWk,6,30,WaterMainCZ01JunWk,7,31,WaterMainCZ01JulWk,8,31,WaterMainCZ01AugWk,9,30,WaterMainCZ01SepWk,10,31,WaterMainCZ01OctWk,11,30,WaterMainCZ01NovWk,12,31,WaterMainCZ01DecWk
WaterMainCZ02,1,31,WaterMainCZ02JanWk,2,28,WaterMainCZ02FebWk,3,31,WaterMainCZ02MarWk,4,30,WaterMainCZ02AprWk,5,31,WaterMainCZ02MayWk,6,30,WaterMainCZ02JunWk,7,31,WaterMainCZ02JulWk,8,31,WaterMainCZ02AugWk,9,30,WaterMainCZ02SepWk,10,31,WaterMainCZ02OctWk,11,30,WaterMainCZ02NovWk,12,31,WaterMainCZ02DecWk
WaterMainCZ03,1,31,WaterMainCZ03JanWk,2,28,WaterMainCZ03FebWk,3,31,WaterMainCZ03MarWk,4,30,WaterMainCZ03AprWk,5,31,WaterMainCZ03MayWk,6,30,WaterMainCZ03JunWk,7,31,WaterMainCZ03JulWk,8,31,WaterMainCZ03AugWk,9,30,WaterMainCZ03SepWk,10,31,WaterMainCZ03OctWk,11,30,WaterMainCZ03NovWk,12,31,WaterMainCZ03DecWk
WaterMainCZ04,1,31,WaterMainCZ04JanWk,2,28,WaterMainCZ04FebWk,3,31,WaterMainCZ04MarWk,4,30,WaterMainCZ04AprWk,5,31,WaterMainCZ04MayWk,6,30,WaterMainCZ04JunWk,7,31,WaterMainCZ04JulWk,8,31,WaterMainCZ04AugWk,9,30,WaterMainCZ04SepWk,10,31,WaterMainCZ04OctWk,11,30,WaterMainCZ04NovWk,12,31,WaterMainCZ04DecWk
WaterMainCZ05,1,31,WaterMainCZ05JanWk,2,28,WaterMainCZ05FebWk,3,31,WaterMainCZ05MarWk,4,30,WaterMainCZ05AprWk,5,31,WaterMainCZ05MayWk,6,30,WaterMainCZ05JunWk,7,31,WaterMainCZ05JulWk,8,31,WaterMainCZ05AugWk,9,30,WaterMainCZ05SepWk,10,31,WaterMainCZ05OctWk,11,30,WaterMainCZ05NovWk,12,31,WaterMainCZ05DecWk
WaterMainCZ06,1,31,WaterMainCZ06JanWk,2,28,WaterMainCZ06FebWk,3,31,WaterMainCZ06MarWk,4,30,WaterMainCZ06AprWk,5,31,WaterMainCZ06MayWk,6,30,WaterMainCZ06JunWk,7,31,WaterMainCZ06JulWk,8,31,WaterMainCZ06AugWk,9,30,WaterMainCZ06SepWk,10,31,WaterMainCZ06OctWk,11,30,WaterMainCZ06NovWk,12,31,WaterMainCZ06DecWk
WaterMainCZ07,1,31,WaterMainCZ07JanWk,2,28,WaterMainCZ07FebWk,3,31,WaterMainCZ07MarWk,4,30,WaterMainCZ07AprWk,5,31,WaterMainCZ07MayWk,6,30,WaterMainCZ07JunWk,7,31,WaterMainCZ07JulWk,8,31,WaterMainCZ07AugWk,9,30,WaterMainCZ07SepWk,10,31,WaterMainCZ07OctWk,11,30,WaterMainCZ07NovWk,12,31,WaterMainCZ07DecWk
