ScheduleDayName,ScheduleTypeLimits,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
DataGasEquipWD,Fraction,0,0,0,0,0,0,0,0.5,0.5,0.5,0.9,0.9,0.9,0.9,0.75,0.75,0.75,0.75,0,0,0,0,0,0
DataGasEquipSat,Fraction,0,0,0,0,0,0,0,0,0.5,0.5,0.9,0.9,0.9,0.9,0.75,0.75,0.75,0,0,0,0,0,0,0
DataGasEquipSun,Fraction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DataRefrigerationWD,Fraction,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
DataRefrigerationSat,Fraction,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
DataRefrigerationSun,Fraction,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
HealthOccupancyWD,Fraction,0,0,0,0,0,0,0,0.1,0.5,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.5,0.3,0.3,0.2,0.2,0,0
HealthOccupancySat,Fraction,0,0,0,0,0,0,0,0.1,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.1,0.1,0,0,0,0,0
HealthOccupancySun,Fraction,0,0,0,0,0,0,0,0,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0,0,0,0,0,0,0,0
HealthLightsWD,Fraction,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.45,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.1
HealthLightsSat,Fraction,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.1,0.1,0.1,0.1,0.1,0.1
HealthLightsSun,Fraction,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
HealthReceptacleWD,Fraction,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.1
HealthReceptacleSat,Fraction,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.1,0.1,0.1,0.1,0.1,0.1
HealthReceptacleSun,Fraction,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
HealthHVACAvailWD,OnOff,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
HealthHVACAvailSat,OnOff,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
HealthHVACAvailSun,OnOff,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
HealthServiceHotWaterWD,Fraction,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.17,0.58,0.66,0.78,0.82,0.71,0.82,0.78,0.74,0.63,0.41,0.18,0.18,0.18,0.1,0.01,0.01
HealthServiceHotWaterSat,Fraction,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.2,0.28,0.3,0.3,0.24,0.24,0.23,0.23,0.23,0.1,0.01,0.01,0.01,0.01,0.01,0.01
HealthServiceHotWaterSun,Fraction,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
HealthElevatorWD,Fraction,0,0,0,0,0,0,0,0.02,0.75,1,1,1,0.75,1,1,1,1,1,0.52,0.52,0.52,0.28,0,0
HealthElevatorSat,Fraction,0,0,0,0,0,0,0,0.02,0.46,0.7,0.7,0.7,0.51,0.51,0.51,0.51,0.51,0.25,0.02,0,0,0,0,0
HealthElevatorSun,Fraction,0,0,0,0,0,0,0,0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0,0,0,0,0,0,0,0
