name,_id,run_start_time,run_end_time,status,status_message,openstudio_model_articulation_testing_scenario_builder.climate_zone,openstudio_model_articulation_testing_scenario_builder.scenario,openstudio_model_articulation_testing_scenario_builder.template,envelope_and_internal_load_breakdown.electric_equipment_total_heating_energy_annual,envelope_and_internal_load_breakdown.ext_roof_heat_gain,envelope_and_internal_load_breakdown.ext_roof_heat_loss,envelope_and_internal_load_breakdown.ext_wall_heat_gain,envelope_and_internal_load_breakdown.ext_wall_heat_loss,envelope_and_internal_load_breakdown.gas_equipment_total_heating_energy_annual,envelope_and_internal_load_breakdown.ground_heat_gain,envelope_and_internal_load_breakdown.ground_heat_loss,envelope_and_internal_load_breakdown.surface_window_heat_gain_energy_annual,envelope_and_internal_load_breakdown.surface_window_heat_loss_energy_annual,envelope_and_internal_load_breakdown.zone_infiltration_sensible_heat_gain_energy_annual,envelope_and_internal_load_breakdown.zone_infiltration_sensible_heat_loss_energy_annual,envelope_and_internal_load_breakdown.zone_lights_total_heating_energy_annual,envelope_and_internal_load_breakdown.zone_people_sensible_heating_energy_annual,openstudio_model_articulation_testing_scenario_builder.building_type,openstudio_results.annual_peak_electric_demand,openstudio_results.electricity_ip,openstudio_results.end_use_cooling,openstudio_results.end_use_exterior_equipment,openstudio_results.end_use_exterior_lighting,openstudio_results.end_use_fans,openstudio_results.end_use_generators,openstudio_results.end_use_heat_recovery,openstudio_results.end_use_heat_rejection,openstudio_results.end_use_heating,openstudio_results.end_use_humidification,openstudio_results.end_use_interior_equipment,openstudio_results.end_use_interior_lighting,openstudio_results.end_use_pumps,openstudio_results.end_use_refrigeration,openstudio_results.end_use_water_systems,openstudio_results.natural_gas_ip,openstudio_results.total_site_eui,openstudio_results.unmet_hours_during_occupied_cooling,openstudio_results.unmet_hours_during_occupied_heating
DOE Autogenerated 396,df3244f3-9bb9-4eec-b209-0e039c1ba24f,2019-08-13T15:33:31.744Z,2019-08-13T15:39:09.768Z,completed,completed normal,ASHRAE 169-2006-3A,s4 Prototype - setpoints,90.1-2010,48441.792012693084,60162.0,71983.2,75884.1,82113.9,0.0,5349.0,91392.5,42971.54547428884,22773.86778131259,1104.008602605512,8080.406639443797,48236.738904887694,19575.62687625494,SmallOffice,17.361,51469.94185370555,16738.450344733184,0.0,19145.905830329008,16984.882796014645,0.0,0.0,0.0,9042.175327789046,0.0,48442.93301921365,48234.413252744715,9.478171203133172,0.0,34633.23757624861,17.598537039495902,35.11798854123452,19.0,12.33
DOE Autogenerated 434,df817c31-04a1-4422-9e3f-d464723beb9c,2019-08-13T15:39:03.794Z,2019-08-13T15:44:10.804Z,completed,completed normal,ASHRAE 169-2006-8A,s0 Prototype,90.1-2013,46695.806991703495,132622.7,151604.7,33924.6,56356.0,0.0,26688.6,51158.4,41033.11731127483,58492.52734076573,9107.305699679686,39227.68950579678,42031.09544618555,20358.158518303233,SmallOffice,17.8122,47446.385614313884,5023.430737660581,0.0,11373.805443759808,20254.85186109559,0.0,0.0,0.0,74233.036862939,0.0,46698.94951783714,42035.68928589563,0.0,0.0,25136.110030709173,62.85435547693668,40.84752988765588,2.5,160.67
DOE Autogenerated 209,e1fa4279-d269-4c65-aa13-211aa26c91cd,2019-08-13T15:06:38.434Z,2019-08-13T15:12:08.550Z,completed,completed normal,ASHRAE 169-2006-7A,s2 Prototype - loads,90.1-2004,50981.18200373395,56101.4,120690.9,60031.0,100233.8,0.0,27581.4,56370.4,49117.62433427119,52386.24294739339,138.64939441975878,46007.118995575336,68456.7196866106,20474.262473474973,SmallOffice,23.18337,69825.45344308889,7648.88416092847,0.0,29704.588550619363,23278.388474895073,0.0,0.0,0.0,112449.02315397195,0.0,50983.08290165334,68460.83060023091,0.0,0.0,25354.10796838124,79.61190918475718,57.77258813437565,2.5,98.67
DOE Autogenerated 192,e288afae-9b98-4780-8049-31645ee8556c,2019-08-13T15:06:16.331Z,2019-08-13T15:11:46.937Z,completed,completed normal,ASHRAE 169-2006-5B,s1 Prototype - const,90.1-2004,50981.18200373395,79106.8,111297.2,75988.7,102971.9,0.0,11440.4,84054.7,66079.4105726253,36498.75452736106,841.2697785426647,18794.16971818569,68456.7196866106,19967.152053218608,SmallOffice,23.67163,64929.33747806389,13174.657972355111,0.0,23543.777268582802,23960.81680152066,0.0,0.0,0.0,21723.96839758123,0.0,50983.08290165334,68460.83060023091,0.0,0.0,24444.203532880452,4.7374719890305546,41.12659955034989,18.33,22.5
DOE Autogenerated 403,e2a13f37-2e17-4962-a7f3-01cb9f5a182e,2019-08-13T15:33:38.415Z,2019-08-13T15:39:19.802Z,completed,completed normal,ASHRAE 169-2006-6A,s4 Prototype - setpoints,90.1-2010,48441.792012693084,56703.4,94434.1,58046.3,84847.7,0.0,15871.1,57914.4,38825.180458637595,39044.87860042719,190.43479440964109,18651.617056213305,47304.60724424664,20307.20343986335,SmallOffice,18.21737,51680.61380311111,6928.543149490349,0.0,19269.122055969743,16311.93264059219,0.0,0.0,0.0,39884.14442278439,0.0,48442.93301921365,47305.55247483766,9.478171203133172,0.0,35770.6181206246,37.563550843401785,38.87681572640933,3.83,33.83
DOE Autogenerated 412,e3158406-801e-4f80-a47f-175a33301b46,2019-08-13T15:33:58.802Z,2019-08-13T15:39:40.213Z,completed,completed normal,ASHRAE 169-2006-4A,s5 Prototype - hvac,90.1-2010,48441.792012693084,69532.9,87275.8,68572.1,86158.1,0.0,7539.5,80066.2,48744.653793815545,28158.21034521998,598.9005260521631,12323.029575528686,47199.40890992396,19891.417796448,SmallOffice,17.15216,50890.66786262778,12359.535248885659,0.0,19145.905830329008,16700.53765992065,0.0,0.0,0.0,14861.772446512816,0.0,48442.93301921365,47201.292591603196,9.478171203133172,0.0,35107.146136405274,20.167669258912415,35.224792980043325,11.0,18.0
DOE Autogenerated 296,e33c98ec-a9a2-46ec-bbba-07a4a2357d61,2019-08-13T15:21:53.968Z,2019-08-13T15:27:17.042Z,completed,completed normal,ASHRAE 169-2006-2A,s3 Prototype - swh exhaust,90.1-2007,50981.18200373395,65842.4,66179.8,80011.0,74517.2,0.0,2854.9,116883.6,48776.01080934234,19620.764377764008,2614.55752520827,7806.433872317733,68456.7196866106,19048.944092713406,SmallOffice,21.10168,63690.30252064167,26500.96668396035,0.0,29685.632208213094,20264.330032298723,0.0,0.0,0.0,2483.280855220891,0.0,50983.08290165334,68460.83060023091,9.478171203133172,0.0,34955.49539715514,16.011578602307797,42.4082528160557,23.67,6.0
DOE Autogenerated 485,e4faab83-cc87-4b24-9172-ede110ce634b,2019-08-13T15:44:43.474Z,2019-08-13T15:49:55.704Z,completed,completed normal,ASHRAE 169-2006-5A,s4 Prototype - setpoints,90.1-2013,46695.806991703495,61303.4,82576.0,63749.9,87954.1,0.0,11774.3,61898.0,43262.519542684204,34733.43318162478,556.388943288705,17652.79658443436,41930.46925908477,20036.706879191155,SmallOffice,18.0272,49879.11893103056,10369.119296227691,0.0,19250.165713563474,17041.751823233444,0.0,0.0,0.0,25392.02065319377,0.0,46698.94951783714,41931.42940266115,9.478171203133172,0.0,35505.22932693687,25.98453266388744,35.6554560397563,7.67,23.83
DOE Autogenerated 482,e59deaa1-0406-44da-8c59-d6beae5d1929,2019-08-13T15:44:39.702Z,2019-08-13T15:49:58.035Z,completed,completed normal,ASHRAE 169-2006-4A,s4 Prototype - setpoints,90.1-2013,46695.806991703495,66538.7,79188.6,68684.4,86145.9,0.0,5669.6,73459.1,48673.39268609524,27706.078914480022,603.8849899597159,12482.55775999262,41953.31842292224,19777.217604688878,SmallOffice,16.59502,48340.58292677777,12397.447933698191,0.0,19145.905830329008,16435.14886623292,0.0,0.0,0.0,12151.015482416728,0.0,46698.94951783714,41950.385745067426,9.478171203133172,0.0,35097.66796520214,18.939750180730105,33.42117608596541,11.67,14.83
DOE Autogenerated 124,e623098e-b519-42ba-863a-cbecc97681ef,2019-08-13T14:56:04.810Z,2019-08-13T15:01:15.344Z,completed,completed normal,ASHRAE 169-2006-6B,s2 Prototype - loads,DOE Ref 1980-2004,84237.9610667569,62934.9,105392.8,73383.5,99565.9,0.0,18243.6,60818.4,40381.12236802242,66229.74234676108,1874.7769275420305,133860.9835286969,99875.62056006628,17814.91241249154,SmallOffice,25.78971,85792.98759784723,12738.662097010983,0.0,40708.745317456975,55181.91274464133,0.0,0.0,0.0,156645.73547418194,0.0,84241.98565344764,99871.48996741425,0.0,0.0,14823.859761700282,171.47203046248524,84.37033870224874,166.67,387.0
